stfgov,stflife,stfeco,stfdem,reform,education,edulevel,male,age,edulevel.1,society,polinterest,tv,religious,ideology,family,prosp,absdate,difdate,pdwrk,unempl,hswrk,Treatment,pscores,distance,weights
7,10,7,9,0,0,6,0,52,6,10,3,2,8,4,0,1,26,-26,1,0,1,Control,0.440318879835575,0.440318879835575,1
6,10,6,8,1,0,3,1,36,3,7,3,1,4,2,0,1,2,2,1,0,0,Treated,0.4927578587061351,0.4927578587061351,1
6,9,5,8,0,0,5,0,62,5,7,3,4,8,3,0,0,32,-32,0,1,0,Control,0.36234893362890414,0.36234893362890414,1
0,10,0,9,0,0,3,1,68,3,5,3,7,0,8,0,0,32,-32,0,0,0,Control,0.25022620779525345,0.25022620779525345,1
3,10,7,9,1,0,2,1,42,2,7,2,2,5,8,0,1,56,56,1,0,0,Treated,0.4790594384286189,0.4790594384286189,1
2,9,3,9,1,0,2,0,52,2,7,3,1,8,8,0,0,50,50,1,0,1,Treated,0.5034527008330525,0.5034527008330525,1
6,10,4,8,0,0,1,1,70,1,5,3,2,2,8,0,0,4,-4,0,0,0,Control,0.3411768506066064,0.3411768506066064,1
0,0,7,3,1,0,1,1,75,1,7,4,4,4,7,0,0,6,6,0,0,0,Treated,0.3014057291201826,0.3014057291201826,1
4,8,4,8,1,0,3,1,51,3,7,3,2,3,7,1,1,35,35,1,0,0,Treated,0.4173241879500403,0.4173241879500403,1
4,10,7,10,0,0,1,1,74,1,5,3,7,0,10,0,0,25,-25,0,0,0,Control,0.24447124972043205,0.24447124972043205,1
8,9,8,7,0,0,6,1,42,6,10,4,2,1,5,0,1,1,-1,1,0,0,Control,0.42272895438762187,0.42272895438762187,1
5,8,9,9,0,0,6,1,52,6,8,3,2,0,4,0,1,1,-1,1,0,0,Control,0.36046377588080264,0.36046377588080264,1
6,9,5,6,1,0,6,0,49,6,7,3,1,1,5,1,1,8,8,1,0,0,Treated,0.4282855880599049,0.4282855880599049,1
5,10,5,7,0,1,2,0,19,2,5,2,0,7,6,1,1,11,-11,0,0,0,Control,0.5382426641884225,0.5382426641884225,1
7,7,7,8,0,0,3,1,35,3,7,3,1,5,3,0,1,28,-28,1,0,0,Control,0.5094971749546487,0.5094971749546487,1
3,9,3,9,1,0,6,0,34,6,5,2,1,10,4,0,1,9,9,1,0,0,Treated,0.5574708129061192,0.5574708129061192,1
